lat,lng,amenity,country,admin,name
-43.5070452,172.6678608,medical_centre,NZ,Canterbury,Windsor House
-43.51238,172.6661738,healthcare,NZ,Canterbury,Woodchester Specialist Senior Care Centre
-43.5084605,172.6253903,hospital,NZ,Canterbury,Silverdale Hospital
-43.5105693,172.6224273,hospital,NZ,Canterbury,Nure Maude
-43.5107722,172.61816,hospital,NZ,Canterbury,St George's Hospital
-43.5085362,172.5960616,hospital,NZ,Canterbury,Radius St Winifreds Hospital
-43.5253525,172.6806349,hospital,NZ,Canterbury,Rosewood Rest Home & Hospital
-43.5212448,172.6307952,hospital,NZ,Canterbury,Lyndhurst Hospital
-43.5219177,172.6363972,nursing_home,NZ,Canterbury,Resthaven Rest Home
-43.5263061,172.6378002,hospital,NZ,Canterbury,Forte Health
-43.5319283,172.6377253,community_centre,NZ,Canterbury,Churches Hospital Support Trust
-43.5471981,172.5875597,hospital,NZ,Canterbury,Regional Forensic Psychiatric Service
-43.5468751,172.5896502,hospital,NZ,Canterbury,Te Whare Mauri Ora
-43.549189,172.5955491,hospital,NZ,Canterbury,Youth Specialty Services
-43.5462921,172.606706,retirement_home,NZ,Canterbury,Villa Gardens Retirement Home & Hospital
-43.5465542,172.6220362,nursing_home,NZ,Canterbury,Bishop Selwyn Lifecare Centre
-43.548946,172.6314601,nursing_home,NZ,Canterbury,Nazareth House
-43.5670126,172.6187819,retirement_home,NZ,Canterbury,Cashmere View Retirement Village
-43.5756979,172.7650186,nursing_home,NZ,Canterbury,Edith Cavell Home Hospital & Vilalge
-43.4770164,172.583171,wildlife_reserve,NZ,Canterbury,Shamrock Garden
-43.4632693,172.594193,wildlife_reserve,NZ,Canterbury,Willowbank Wildlife Reserve
-43.5167348,172.6316362,Marae,NZ,Canterbury,Rehua Marae
-43.5214616,172.6991365,Marae,NZ,Canterbury,Nga Hau E Wha National Marae
-43.5645769,172.6133654,Marae,NZ,Canterbury,Te Kura Kaupapa Maori O Te Whanau Tahi
-43.541752,172.6872637,crematorium,NZ,Canterbury,Cremation Society of Canterbury
-43.5262315,172.6817254,crematorium,NZ,Canterbury,Lamb & Hayward Kerrs Road Chapel
-43.4916794,172.5725245,crematorium,NZ,Canterbury,Lamb & Hayward - Westpark Chapel
-43.5458772,172.5542699,crematorium,NZ,Canterbury,Christchurch Crematorium Funeral Services
-40.4660568,175.23054,fire_station,NZ,Manawatu-Wanganui,Foxton Beach Volunteer Fire Brigade
-40.1426901,175.494528,fire_station,NZ,Manawatu-Wanganui,Halcombe Volunteer Fire Brigade
-40.3351525,175.6205371,fire_station,NZ,Manawatu-Wanganui,Milson Fire Station
-39.8992547,175.9006614,fire_station,NZ,Manawatu-Wanganui,Rangiwahia Volunteer Fire Brigade
-40.2916921,175.4235197,fire_station,NZ,Manawatu-Wanganui,Rongotea Volunteer Fire Brigade
-40.295562,175.2454891,fire_station,NZ,Manawatu-Wanganui,Tangimoana Volunteer Fire Brigade
-40.4747664,175.5094506,fire_station,NZ,Manawatu-Wanganui,Tokomaru Voluteer Fire Brigade
