lat,lng,name,website
-41.2890987,174.7768045,Wellington City Council,
-41.2899561,174.7776924,National Bank,
-41.2918578,174.7814475,The Wakefield Street Carpark,
-41.2922107,174.7815312,Bike Barn Wellington,
-43.6541619,172.5565139,Tai Tapu Golf Club,
-43.4562229,172.4461140,map,
-43.4547601,172.4506187,map,
-43.4535846,172.4727082,map,
-43.4539330,172.4595406,map,
-40.0418916,175.1772377,Ratana Volunteer Fire Brigade,
-43.6064380,172.6453335,Sign of the Kiwi,
-39.1755199,175.3931272,National Park,
-43.5906646,172.3801044,BP,
-40.2254168,175.5670421,Feilding Police Station,
-36.9195430,174.7577078,Hillsborough Chemist,
-36.8824301,174.7623376,De Post,
-43.1966071,171.7429748,Cave Stream Reserve,
-43.5199871,172.5347836,Caltex,
-41.2958474,174.7388675,Wright's Hill Fortress,
-43.7308227,172.6909464,Kaituna Valley Walkway,
-36.8632940,174.7800547,Parnell Library,
-42.5269355,172.8416572,Nurserymans Cottage,
-36.8634515,174.7367472,Face Television,
-43.4542514,172.4425377,map,
-41.2949901,174.7981442,Centennial Lookout,
-43.9020774,171.7483075,Ashburton Court,
-43.5710936,172.7134409,old Heathcote Quarry site,
-40.8943659,174.9794604,China Beach Restaurant,
-43.4682861,172.6826809,Info Centre,
-40.3508163,175.6055061,Countdown,
-41.2843469,174.7682950,Krupp Gun,
-41.2806297,174.7667561,Quality Hotel on Thorndon,
-41.2812330,174.7666299,Sound Shell,
-41.3000470,174.7793850,Cricket Museum,
-41.3006405,174.7813140,William Wakefield Memorial,
-41.3075896,174.7665864,St Matthews,
-41.3052464,174.7654853,Brooklyn Library,
-41.3053245,174.7639294,Kiwibank,
-41.3053873,174.7635820,Westpac,
-43.4319824,172.7048296,Spencer Beach Holiday Park,
-43.4307720,172.7070612,Spencer Park,
-43.6781470,172.6213019,(white post),
-43.6661824,172.6085581,Anne's falls,
-43.6097660,172.3132374,Burnham Golf Course,
-41.3054515,174.7635049,Brooklyn Pharmacy,
-41.3090180,174.7636983,St Bernard's Catholic Church,
-41.3139567,174.7644197,Vogelmorn Bowling Club,
-41.2972325,174.7694451,Central Wellington Veterinary Hospital,
-38.8826615,175.2643909,Taumarunui,
-45.8641983,170.4864020,Roslyn Fire Station,
-39.6786162,175.7971853,Taihape,
-40.0876535,175.3917929,Marton Station,
-39.9355888,175.5732116,Hunterville Platform,
-43.4292531,172.7069849,map,
-39.1236701,175.3920084,The Spiral Cafe,
-41.3098153,174.7772631,St James' Presbyterian Church,
-41.3116184,174.7783236,Trinity Union Church,
-41.3124485,174.7796520,ANZ,
-41.3141955,174.7800921,ANZ,
-41.3143974,174.7802626,Newtown Mall Pharmacy,
-41.3144405,174.7808772,New World Supermarket,
-41.3144282,174.7801450,Westpac,
-41.3174653,174.7850128,Congregational Christian Church in Samoa,
-41.3077965,174.7856047,South Side Kids,
-41.3086358,174.7850944,Vince Regal Play Area,
-41.3131912,174.7795155,Kiwibank,
-45.8725460,170.5097545,Dunedin City Fire Station,
-45.8741805,170.5027365,Hoyts Closed ( at Dec 2013),
-45.8755039,170.5023269,Rialto,
